Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6qYkmqFsXbj8CQjAdbYz07,"Blinding Lights","Blinding Lights","The Weeknd",2020-09-11,200045,65,false,teage03,2024-03-24T20:22:27Z,"","Universal Republic Records",0.515,0.726,1,-5.926,1,0.0547,0.00152,0.00015,0.087,0.35,170.987,4
spotify:track:2plbrEY59IikOBgBGLjaoe,"Die With A Smile","Die With A Smile","Lady Gaga,Bruno Mars",2024-08-16,251667,98,false,teage03,2024-10-23T21:41:41Z,"art pop,pop","Interscope",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
spotify:track:6j8OrKDQHxXakjA7KKbWzj,"tau mich auf","tau mich auf","Zartmann",2025-01-31,110902,80,false,teage03,2025-03-09T07:54:22Z,"german indie,german pop","Bamboo Artists/Epic",0.888,0.791,2,-7.766,1,0.0992,0.256,0.00000242,0.183,0.821,124.981,4
spotify:track:17phhZDn6oGtzMe56NuWvj,"Lose Control","I've Tried Everything But Therapy (Part 1)","Teddy Swims",2023-09-15,210688,93,false,teage03,2025-05-04T19:48:46Z,"","Warner Records",0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
spotify:track:2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,90,true,teage03,2024-07-10T20:50:39Z,"","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
spotify:track:0GRc3eGTg8HBdWLRGYgqIc,"Azizam","Azizam","Ed Sheeran",2025-04-04,162029,94,false,teage03,2025-06-30T10:25:58Z,"soft pop","Gingerbread Man Records / Atlantic Records UK",0.663,0.899,6,-5.103,1,0.0473,0.00255,0,0.065,0.876,127.998,4
spotify:track:6dOtVTDdiauQNBQEDOtlAB,"BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,99,false,teage03,2024-07-04T03:06:38Z,"","Darkroom/Interscope Records",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
spotify:track:7DFSnCBYlus7i4U9KKlbdU,"No Roots","MINT","Alice Merton",2019-01-18,237053,60,false,teage03,2024-06-24T11:41:41Z,"","Paper Plane Records International",0.862,0.671,4,-6.576,0,0.0995,0.258,0.00274,0.0744,0.82,115.952,4
spotify:track:0QCIpQV3twfqo9kh0t8Zza,"Shake It To The Max (FLY) - Remix","Shake It To The Max (FLY) (Remix)","MOLIY,Silent Addy,Skillibeng,Shenseea",2025-02-21,178775,95,true,teage03,2025-06-30T10:25:58Z,"alté,shatta,dancehall,soca,afrobeats","WONDERGIRL LLC",0.856,0.548,0,-6.609,0,0.123,0.561,0,0.155,0.562,97.997,4
spotify:track:3Wrjm47oTz2sjIgck11l5e,"Beggin'","Chosen","Måneskin",2017-12-08,211560,87,false,teage03,2021-08-04T07:23:09Z,"","RCA Records Label",0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,4
